iter	F1	Logloss
0	0.7097844113	0.6758576758
1	0.7356687898	0.6499525724
2	0.7503974563	0.6296139946
3	0.7559808612	0.6071929105
4	0.7699680511	0.588865749
5	0.7740916272	0.5717922005
6	0.7765451664	0.5565810962
7	0.7774294671	0.5418982358
8	0.785488959	0.529117691
9	0.800623053	0.5171808025
10	0.8030769231	0.5061172889
11	0.8151515152	0.4959397571
12	0.8247734139	0.4866875896
13	0.8310911809	0.4786511924
14	0.8288288288	0.471624768
15	0.8360902256	0.4622566911
16	0.8400597907	0.4541218925
17	0.8508124077	0.4457334837
18	0.8533333333	0.4383960859
19	0.8600883652	0.4310801914
20	0.8584070796	0.4238581575
21	0.8584070796	0.4193663005
22	0.8604992658	0.4114837915
23	0.8609467456	0.4062912083
24	0.8676470588	0.4030526855
25	0.8689248895	0.3968266022
26	0.8761061947	0.3903375446
27	0.8761061947	0.3848333477
28	0.8718703976	0.379566755
29	0.8718703976	0.3768898733
30	0.8801169591	0.3732115715
31	0.8781204112	0.3697567915
32	0.8810572687	0.3664300873
33	0.8843338214	0.362105965
34	0.8843338214	0.3590350119
35	0.8901903367	0.3553507379
36	0.8875912409	0.3497371232
37	0.8905109489	0.3449805032
38	0.8969521045	0.3408133221
39	0.9001447178	0.3394895262
40	0.8972503618	0.3352829743
41	0.9001447178	0.3321812549
42	0.9001447178	0.3286695588
43	0.9030390738	0.3255791481
44	0.9001447178	0.324005837
45	0.9048991354	0.3199979015
46	0.901734104	0.3157000084
47	0.901734104	0.3137018403
48	0.9109195402	0.3109342086
49	0.9109195402	0.3094086794
50	0.916426513	0.3071651868
51	0.9151079137	0.3050198997
52	0.9135446686	0.301916527
53	0.9148629149	0.2997133362
54	0.9161849711	0.2970862265
55	0.9161849711	0.2959690601
56	0.9146164978	0.2934626323
57	0.915942029	0.2911526847
58	0.9204052098	0.2885971127
59	0.9219653179	0.2861320999
60	0.9219653179	0.2840823433
61	0.9204052098	0.2820885299
62	0.9190751445	0.2791045076
63	0.9219653179	0.2771400838
64	0.9235209235	0.2741683205
65	0.9250720461	0.272128593
66	0.9264069264	0.2701698327
67	0.9277456647	0.2676478217
68	0.9264069264	0.2649539262
69	0.9264069264	0.2635507951
70	0.9275362319	0.2605659979
71	0.9335260116	0.2580882634
72	0.9294964029	0.2561102499
73	0.9308357349	0.2537500003
74	0.9323741007	0.2517729652
75	0.9325681492	0.2498374276
76	0.9312320917	0.2478142208
77	0.9365994236	0.2464023695
78	0.939481268	0.2450243289
79	0.939481268	0.2441206384
80	0.939481268	0.2428892448
81	0.9410071942	0.2413043943
82	0.9410071942	0.2394656426
83	0.9396551724	0.2381064937
84	0.9396551724	0.2367131781
85	0.9452449568	0.2346023141
86	0.9452449568	0.2328533451
87	0.9452449568	0.231417583
88	0.9467625899	0.2295087399
89	0.9452449568	0.2282878413
90	0.9479768786	0.2266067849
91	0.9479768786	0.2253392727
92	0.9510086455	0.2246723677
93	0.9510086455	0.2236206243
94	0.9510086455	0.2203610681
95	0.9523809524	0.2192467627
96	0.9523809524	0.2169026191
97	0.9510086455	0.2149471195
98	0.9538904899	0.2126866311
99	0.9523809524	0.2114437304
100	0.9538904899	0.2102747811
101	0.9552669553	0.2091874522
102	0.9566473988	0.2077839621
103	0.9566473988	0.2061611091
104	0.9623188406	0.2043841732
105	0.9594202899	0.2043064393
106	0.9609261939	0.2027156761
107	0.9623188406	0.2007954526
108	0.9637155298	0.1988980486
109	0.9637155298	0.1974239506
110	0.9637155298	0.1953332696
111	0.9652173913	0.1936440335
112	0.9666182874	0.1924338121
113	0.9666182874	0.1912979731
114	0.9682080925	0.1897088227
115	0.9682080925	0.1883689967
116	0.9696092619	0.1870596586
117	0.9696092619	0.1856877477
118	0.9710144928	0.1831685078
119	0.9710144928	0.1820447974
120	0.9725036179	0.1806160835
121	0.9710144928	0.179142355
122	0.9710144928	0.1776531965
123	0.9710144928	0.1765933283
124	0.9752547307	0.1752124718
125	0.976744186	0.1744986546
126	0.9781659389	0.1731994197
127	0.9810218978	0.1707863873
128	0.9795321637	0.1693147127
129	0.9795321637	0.1687716963
130	0.9795321637	0.1682226527
131	0.9810218978	0.1674971628
132	0.9810218978	0.1664022801
133	0.9839883552	0.1647352508
134	0.9868995633	0.1629889689
135	0.9868995633	0.1619027223
136	0.9868995633	0.1610136526
137	0.988372093	0.159896427
138	0.988372093	0.1592111737
139	0.988372093	0.1576223869
140	0.988372093	0.1567137261
141	0.988372093	0.1555915912
142	0.988372093	0.1549658547
143	0.988372093	0.1542150279
144	0.988372093	0.1535496959
145	0.988372093	0.1521433483
146	0.9898403483	0.1510099803
147	0.9898403483	0.1499252768
148	0.9898403483	0.1491904418
149	0.9898403483	0.1483358696
150	0.9898403483	0.1475698278
151	0.9898403483	0.1466070795
152	0.9898403483	0.1455472787
153	0.9898403483	0.1450425699
154	0.9898403483	0.1440376058
155	0.9898403483	0.1423461238
156	0.9898403483	0.1414750828
157	0.9898403483	0.139930029
158	0.9898403483	0.1382314452
159	0.9898403483	0.137270807
160	0.9898403483	0.1363982267
161	0.9898403483	0.1355959884
162	0.9898403483	0.1347833047
163	0.9898403483	0.1342385906
164	0.9898403483	0.1334842622
165	0.9912790698	0.1326896649
166	0.9912790698	0.1311718741
167	0.9912790698	0.1305393648
168	0.9912790698	0.1296811148
169	0.9912790698	0.1285762103
170	0.9912790698	0.1277929637
171	0.9912790698	0.1273626474
172	0.9912790698	0.125714449
173	0.9912790698	0.1241492425
174	0.9912790698	0.1230665578
175	0.9912790698	0.1224518277
176	0.9912790698	0.1213176856
177	0.9912790698	0.1199813731
178	0.9912790698	0.1193468508
179	0.9912790698	0.1185742896
180	0.9912790698	0.1177150533
181	0.992743106	0.1163276732
182	0.9942028986	0.1155304182
183	0.992743106	0.1149951808
184	0.9942028986	0.1138798289
185	0.9942028986	0.113410428
186	0.9942028986	0.1127894634
187	0.9942028986	0.1121009011
188	0.9942028986	0.1115721139
189	0.9942028986	0.1109285206
190	0.9942028986	0.1102376405
191	0.9942028986	0.1095156696
192	0.9942028986	0.1087917247
193	0.9942028986	0.1080857472
